CEST;NCM/SH;Segmento CEST;Item;Descrição CEST;Anexo XXVII
01.001.00;3815.12.10;01. Autopeças;1.0;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;
01.001.00;3815.12.90;01. Autopeças;1.0;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;
01.002.00;3917;01. Autopeças;2.0;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos;
01.003.00;3918.10.00;01. Autopeças;3.0;Protetores de caçamba;
01.004.00;3923.30.00;01. Autopeças;4.0;Reservatórios de óleo;
01.005.00;3926.30.00;01. Autopeças;5.0;Frisos, decalques, molduras e acabamentos;
01.006.00;4010.3;01. Autopeças;6.0;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;
01.006.00;5910.00.00;01. Autopeças;6.0;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;
01.007.00;4016.93.00;01. Autopeças;7.0;Juntas, gaxetas e outros elementos com função semelhante de vedação;
01.007.00;4823.90.9;01. Autopeças;7.0;Juntas, gaxetas e outros elementos com função semelhante de vedação;
01.008.00;4016.10.10;01. Autopeças;8.0;Partes de veículos automóveis, tratores e máquinas autopropulsadas;
01.009.00;4016.99.90;01. Autopeças;9.0;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;
01.009.00;5705.00.00;01. Autopeças;9.0;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;
01.010.00;5903.90.00;01. Autopeças;10.0;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico;
01.011.00;5909.00.00;01. Autopeças;11.0;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias;
01.012.00;6306.1;01. Autopeças;12.0;Encerados e toldos;
01.013.00;6506.10.00;01. Autopeças;13.0;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores;
01.014.00;6813;01. Autopeças;14.0;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias;
01.015.00;7007.11.00;01. Autopeças;15.0;Vidros de dimensões e formatos que permitam aplicação automotiva;
01.015.00;7007.21.00;01. Autopeças;15.0;Vidros de dimensões e formatos que permitam aplicação automotiva;
01.016.00;7009.10.00;01. Autopeças;16.0;Espelhos retrovisores;
01.017.00;7014.00.00;01. Autopeças;17.0;Lentes de faróis, lanternas e outros utensílios;
01.018.00;7311.00.00;01. Autopeças;18.0;Cilindro de aço para GNV (gás natural veicular);
01.019.00;7311.00.00;01. Autopeças;19.0;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0;
01.020.00;7320;01. Autopeças;20.0;Molas e folhas de molas, de ferro ou aço;
01.021.00;7325;01. Autopeças;21.0;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00;
01.022.00;7806.00;01. Autopeças;22.0;Peso de chumbo para balanceamento de roda;
01.023.00;8007.00.90;01. Autopeças;23.0;Peso para balanceamento de roda e outros utensílios de estanho;
01.024.00;8301.20;01. Autopeças;24.0;Fechaduras e partes de fechaduras;
01.024.00;8301.60;01. Autopeças;24.0;Fechaduras e partes de fechaduras;
01.025.00;8301.70;01. Autopeças;25.0;Chaves apresentadas isoladamente;
01.026.00;8302.10.00;01. Autopeças;26.0;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;
01.026.00;8302.30.00;01. Autopeças;26.0;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;
01.027.00;8310.00;01. Autopeças;27.0;Triângulo de segurança;
01.028.00;8407.3;01. Autopeças;28.0;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87;
01.029.00;8408.20;01. Autopeças;29.0;Motores dos tipos utilizados para propulsão de veículos automotores;
01.030.00;8409.9;01. Autopeças;30.0;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408;
01.031.00;8412.2;01. Autopeças;31.0;Motores hidráulicos;
01.032.00;8413.30;01. Autopeças;32.0;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão;
01.033.00;8414.10.00;01. Autopeças;33.0;Bombas de vácuo;
01.034.00;8414.80.1;01. Autopeças;34.0;Compressores e turbocompressores de ar;
01.034.00;8414.80.2;01. Autopeças;34.0;Compressores e turbocompressores de ar;
01.035.00;8413.91.90;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;
01.035.00;8414.90.10;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;
